"","year","country","pa_pp","spatial_lag_pp","time_spatial_lag_pp","rel_lag_pp","time_rel_lag_pp","trade_lag_pp","time_trade_lag_pp","trade_lag_pp_20","time_trade_lag_pp_20","lang_lag_pp","time_lang_lag_pp","env_igo_lag_pp","time_env_igo_lag_pp","env_igo_lag_pp_20","time_env_igo_lag_pp_20","gdppc","tradeo","gdpg","fdiprop","odaprop","nrr","popd","fhipr","av_pp","US","env_igo_nb"
"61",1961,"MWI",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,45.00223576,NA,NA,NA,0.0255282464783266,NA,NA,NA,NA,NA,0
"62",1961,"MYS",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,244.6126273,92.32867371,NA,NA,0.00693023102029425,NA,NA,NA,NA,NA,2
"63",1961,"NER",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,128.5305908,14.50575374,NA,NA,8.89824425370738e-05,NA,NA,NA,NA,NA,2
"64",1961,"NGA",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,93.39521717,26.16651287,NA,NA,0.0077786658116896,NA,NA,NA,NA,NA,1
"65",1961,"NLD",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1068.784587,NA,NA,NA,0,NA,NA,NA,NA,NA,8
"66",1961,"NOR",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1441.75566,NA,NA,NA,0,NA,NA,NA,NA,NA,9
"67",1961,"NZL",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2312.949992,NA,NA,NA,0,NA,NA,NA,NA,NA,4
"68",1961,"PAK",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,81.5869473,20.3931892,NA,NA,0.06762925442335,NA,NA,NA,NA,NA,5
"69",1961,"PAN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,476.6214222,100.1681476,NA,NA,0.0247790603728476,NA,NA,NA,NA,NA,3
"70",1961,"PER",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,252.8367799,40.48130752,NA,NA,-0.00379873627768892,NA,NA,NA,NA,NA,3
"71",1961,"PHL",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,263.8368619,NA,NA,NA,0.00688275408372707,NA,NA,NA,NA,NA,4
"72",1961,"POL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7
"73",1961,"PRK",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"74",1961,"PRY",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"75",1961,"ROU",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5
"76",1961,"RWA",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,40.11919241,22.52100386,NA,NA,0.0632772999272672,NA,NA,NA,NA,NA,0
"77",1961,"SDN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,116.3709869,27.56246813,NA,NA,0.0211040286769771,NA,NA,NA,NA,NA,1
"78",1961,"SEN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,306.6416434,24.09221228,NA,NA,0.000129521752319778,NA,NA,NA,NA,NA,2
"79",1961,"SLB",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"80",1961,"SLE",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,139.924422,NA,NA,NA,0.0208689507069767,NA,NA,NA,NA,NA,0
"81",1961,"SUR",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,371.2797508,NA,NA,NA,0.0885097811841445,NA,NA,NA,NA,NA,0
"82",1961,"SWE",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2114.002973,42.49062961,NA,NA,0,NA,NA,NA,NA,NA,7
"83",1961,"TCD",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,103.537482,30.42721431,NA,NA,9.56685318333734e-05,NA,NA,NA,NA,NA,1
"84",1961,"TGO",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,73.35018389,62.68016004,NA,NA,0.00090812968938412,NA,NA,NA,NA,NA,1
"85",1961,"THA",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,103.8008292,33.55985836,NA,NA,0.0158580236780164,NA,NA,NA,NA,NA,5
"86",1961,"TTO",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,632.3852272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"87",1961,"TUN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"88",1961,"TZA",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"89",1961,"UGA",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,55.52933712,49.14583075,NA,NA,0.0486987990696942,NA,NA,NA,NA,NA,0
"90",1961,"USA",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3007.123445,NA,NA,NA,0,NA,NA,NA,NA,NA,9
"91",1961,"VEN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,953.6779442,48.58205757,NA,NA,0.000102839781827777,NA,NA,NA,NA,NA,3
"92",1961,"WSM",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"93",1961,"ZAF",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,529.561923,46.85549688,NA,NA,NA,NA,NA,NA,NA,NA,6
"94",1961,"ZMB",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,228.5673985,NA,NA,NA,0.00129032260406732,NA,NA,NA,NA,NA,19
"95",1961,"ZWE",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,276.6433633,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"96",1962,"AGO",-0.0297906473088955,NA,NA,NA,NA,-0.0161335714022706,NA,-0.0894321151690877,NA,-0.051445492407628,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.364588915,NA,0,0,0
"97",1962,"ARG",-0.0093944216571666,-0.078297201843376,0,-0.0190332864763384,0,-0.0201057797732731,NA,-0.25701964798656,NA,-0.0067838993689234,0,-0.0174946273995704,0,-0.0174946273995704,0,NA,11.98989231,5.427842876,NA,NA,NA,7.556812427,NA,0,0,5
"98",1962,"AUS",-1.59161814903137e-05,0,0,-0.0191219589256311,0,NA,NA,NA,NA,-0.016763077658513,0,-0.0175587575725734,0,-0.0175587575725734,0,1877.509803,27.38135883,2.482656077,NA,0,NA,1.364565299,NA,0,0,6
"99",1962,"AUT",-0.0569287025000298,-0.0041550743618727,0,-0.0174998950835005,0,NA,NA,NA,NA,-0.0323543110737194,0,-0.0183459549382015,0,-0.0183459549382015,0,1031.815004,NA,5.537979317,NA,0,NA,85.87371546,NA,0,0,6
"100",1962,"BDI",-0.0158462091268415,-7.8183920918087e-06,NA,NA,NA,NA,NA,NA,NA,-0.0237740349573714,0,-0.0199960328854967,NA,-0.0199960328854967,NA,72.08878213,27.58620798,-13.74613505,NA,0.0354187208884225,NA,109.6562305,NA,0,0,0
"101",1962,"BEL",0,-0.0242930777279485,0,-0.018986519136408,0,-0.0212776717074558,NA,-0.315537432239554,NA,-0.0224273830567558,0,-0.0180600474117847,0,-0.0180600474117847,0,1350.197673,NA,4.978423063,NA,0,NA,279.8277879,NA,0,0,7
"102",1962,"BEN",-0.18506587661206,-0.0189196549951488,0,-0.0212890212368928,0,-0.0249493833647454,NA,-0.152062458393328,NA,-0.025499147154342,0,NA,NA,NA,NA,92.37486063,14.11812169,3.141280456,NA,0.00628001520072568,NA,22.62518624,NA,0,0,0
"103",1962,"BFA",-0.0576360951061192,-0.00306583501126075,0,-0.0212847560341901,0,-0.0272171662792347,NA,-0.0692917042382955,NA,-0.0198910902873099,0,-0.0210765537948041,0,-0.0210765537948041,0,72.17376677,21.21886244,4.043927978,NA,0.003854420195225,NA,17.73696272,NA,0,0,1
"104",1962,"BGR",-0.00148733051986665,-0.00151288297628667,0,-0.0190328265709213,0,NA,NA,NA,NA,NA,NA,-0.016276632735156,0,-0.016276632735156,0,NA,NA,NA,NA,0,NA,71.79895146,NA,0,0,3
"105",1962,"BLZ",-0.132782412689598,NA,NA,NA,NA,NA,NA,NA,NA,-0.0140763758113158,0,NA,NA,NA,NA,319.5960911,NA,4.892277219,NA,0.0941117689502781,NA,4.110346339,NA,0,0,0
